Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -435499.53 -27.062500 -26.656250 -26.187500 -25.781250 -25.312500 -24.906250 -24.468750 -24.031250 -23.593750 -25.468750 -28.593750 -27.500000 -27.468750 -27.968750 -26.250000 -24.593750 -22.187500 -19.718750 -15.375000 -9.0937500 -6.0625000 0.0000000 6.7812500 13.343750 21.062500 29.500000 39.406250 48.062500 58.968750 56.531250 55.531250 55.750000 57.062500 59.156250 62.125000 65.781250 69.968750 74.687500 79.875000 85.500000 91.625000 98.031250 104.68750 111.62500 118.75000 124.87500 131.12500 136.18750 141.34375 147.93750 154.62500 161.37500 168.18750 176.43750 184.84375 193.28125 201.90625 210.46875 219.15625 227.87500 236.68750 245.40625 254.25000 262.90625 20.342024
0.4000 -434610.44 14.531250 15.343750 16.156250 16.968750 17.750000 18.593750 19.406250 20.218750 21.031250 14.562500 9.6562500 4.9062500 0.75000000 -0.84375000 -3.5625000 -5.2500000 -6.5000000 -5.7812500 -5.7812500 -4.2812500 -1.9062500 0.0000000 4.8437500 8.4375000 13.625000 18.375000 24.718750 32.187500 40.031250 36.468750 34.562500 34.031250 34.718750 36.406250 39.125000 42.531250 46.562500 51.343750 56.500000 62.250000 68.343750 74.750000 81.593750 88.625000 95.906250 102.25000 108.65625 113.87500 119.15625 125.90625 132.78125 139.71875 146.71875 155.28125 163.90625 172.62500 181.43750 190.37500 199.28125 208.21875 217.34375 226.40625 235.50000 244.40625 20.335661
0.6000 -434792.03 -6.1250000 -5.7500000 -5.3125000 -4.9062500 -4.4687500 -4.0625000 -3.6562500 -3.2187500 -2.8125000 -6.4687500 -8.7812500 -12.000000 -14.375000 -15.343750 -16.312500 -16.375000 -13.718750 -12.125000 -9.5937500 -6.9687500 -4.1875000 0.0000000 6.1562500 12.000000 18.312500 24.250000 32.656250 41.937500 50.812500 49.468750 49.406250 50.437500 52.468750 55.281250 58.843750 63.000000 67.750000 73.000000 78.562500 84.593750 90.937500 97.468750 104.40625 111.53125 118.75000 125.06250 131.37500 136.53125 141.81250 148.34375 155.06250 161.81250 168.65625 176.96875 185.25000 193.75000 202.15625 210.68750 219.18750 227.84375 236.43750 245.15625 253.84375 262.37500 20.342539
0.8000 -434718.88 -5.9687500 -5.6250000 -5.2500000 -4.8750000 -4.5000000 -4.1562500 -3.7812500 -3.4062500 -3.0312500 -6.5937500 -10.625000 -12.656250 -15.500000 -16.718750 -17.343750 -17.531250 -17.625000 -14.531250 -13.125000 -8.7500000 -5.1562500 0.0000000 4.7812500 10.843750 17.375000 26.062500 34.468750 43.312500 52.781250 52.781250 53.781250 55.750000 58.593750 62.125000 66.281250 70.937500 76.093750 81.718750 87.593750 93.968750 100.46875 107.37500 114.34375 121.59375 129.09375 135.34375 141.90625 147.06250 152.34375 158.96875 165.71875 172.50000 179.34375 187.59375 196.06250 204.46875 212.96875 221.43750 230.09375 238.65625 247.31250 255.93750 264.68750 273.15625 20.340908
1.0000 -434033.41 8.3437500 9.3125000 10.250000 11.218750 12.187500 13.125000 14.093750 15.031250 16.000000 10.343750 5.1250000 0.28125000 -1.4687500 -4.2812500 -7.5312500 -8.7187500 -8.9062500 -8.1562500 -6.1562500 -5.0937500 -3.2187500 0.0000000 4.1562500 8.5312500 13.781250 19.875000 27.687500 34.531250 43.125000 41.093750 40.531250 41.281250 43.062500 45.968750 49.687500 54.218750 59.343750 65.093750 71.312500 78.062500 85.156250 92.625000 100.46875 108.50000 116.84375 123.90625 131.18750 137.09375 143.03125 150.62500 158.31250 166.12500 173.96875 183.40625 193.06250 202.78125 212.59375 222.37500 232.31250 242.40625 252.28125 262.40625 272.50000 282.40625 20.329309
1.2000 -435760.00 0.12500000 0.25000000 0.37500000 0.53125000 0.65625000 0.78125000 0.90625000 1.0312500 1.1562500 -2.2812500 -5.8750000 -8.6250000 -11.875000 -13.187500 -14.656250 -15.218750 -15.187500 -12.593750 -10.687500 -8.3437500 -4.5312500 0.0000000 5.9687500 11.562500 17.062500 24.031250 32.218750 39.437500 49.156250 49.625000 51.093750 53.375000 56.468750 60.187500 64.562500 69.375000 74.812500 80.500000 86.687500 93.062500 99.812500 106.78125 113.93750 121.46875 129.12500 135.59375 142.25000 147.59375 153.00000 159.87500 166.78125 173.81250 180.84375 189.46875 198.09375 206.78125 215.56250 224.31250 233.18750 242.12500 251.12500 260.09375 269.03125 277.87500 20.261522
1.4000 -433611.88 -54.312500 -53.968750 -53.656250 -53.343750 -53.031250 -52.687500 -52.343750 -52.031250 -51.718750 -52.562500 -52.781250 -51.343750 -49.031250 -46.468750 -42.031250 -39.750000 -34.281250 -30.062500 -22.593750 -14.781250 -7.9687500 0.0000000 10.625000 19.468750 30.062500 41.968750 52.937500 65.875000 78.656250 77.187500 77.156250 78.343750 80.562500 83.531250 87.531250 92.093750 97.250000 102.96875 109.21875 115.75000 122.78125 130.09375 137.68750 145.59375 153.68750 160.59375 167.65625 173.40625 179.18750 186.53125 194.00000 201.53125 209.09375 218.37500 227.71875 237.06250 246.53125 256.00000 265.62500 275.25000 285.00000 294.65625 304.40625 313.93750 20.335016
1.6000 -434493.31 -72.687500 -72.125000 -71.531250 -70.968750 -70.406250 -69.812500 -69.250000 -68.687500 -68.125000 -67.031250 -65.312500 -62.437500 -60.031250 -55.343750 -51.562500 -45.687500 -39.843750 -34.062500 -26.843750 -20.187500 -10.000000 0.0000000 10.250000 20.250000 31.687500 42.781250 56.406250 69.656250 83.031250 84.031250 86.125000 89.187500 93.031250 97.687500 102.96875 108.75000 115.06250 121.90625 129.15625 136.68750 144.59375 152.75000 161.09375 169.81250 178.62500 186.15625 193.78125 199.93750 206.21875 214.09375 222.12500 230.18750 238.18750 248.06250 258.03125 267.96875 278.03125 288.12500 298.28125 308.46875 318.62500 328.96875 339.21875 349.31250 20.296103
1.8000 -433628.62 -54.718750 -54.000000 -53.250000 -52.531250 -51.812500 -51.031250 -50.343750 -49.593750 -48.906250 -49.062500 -48.125000 -47.187500 -44.968750 -43.375000 -41.093750 -36.625000 -31.531250 -27.468750 -21.906250 -15.500000 -8.6875000 0.0000000 7.4375000 17.718750 26.125000 35.875000 45.593750 57.281250 69.437500 66.312500 64.906250 64.937500 66.250000 68.562500 71.875000 75.937500 80.750000 86.218750 92.187500 98.687500 105.65625 112.84375 120.59375 128.53125 136.78125 143.81250 150.93750 156.84375 162.71875 170.25000 177.93750 185.65625 193.50000 203.03125 212.65625 222.37500 232.12500 242.00000 251.93750 261.87500 272.00000 282.09375 292.18750 302.12500 20.283411
2.0000 -434583.62 23.750000 24.062500 24.375000 24.718750 25.062500 25.375000 25.687500 26.031250 26.375000 19.375000 14.687500 10.125000 5.9062500 2.3437500 -0.093750000 -1.6562500 -3.4687500 -4.2500000 -4.4687500 -3.1562500 -2.5312500 0.0000000 2.5625000 7.0625000 10.968750 16.000000 20.906250 27.187500 34.187500 34.437500 35.906250 38.375000 41.750000 46.062500 50.968750 56.593750 62.750000 69.343750 76.500000 83.968750 91.812500 99.906250 108.46875 117.12500 126.09375 133.71875 141.46875 147.75000 154.03125 162.12500 170.15625 178.40625 186.62500 196.71875 206.84375 217.00000 227.31250 237.65625 248.03125 258.53125 269.03125 279.50000 290.09375 300.46875 20.265436
