Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -430222.22 388.90625 389.71875 390.53125 391.34375 392.18750 393.03125 393.81250 394.65625 395.46875 374.43750 354.21875 334.90625 317.34375 299.46875 284.31250 269.43750 257.46875 244.43750 232.90625 222.59375 214.15625 205.46875 198.46875 192.18750 187.93750 184.34375 180.87500 180.03125 179.78125 124.50000 85.875000 58.062500 37.843750 23.125000 12.500000 5.3125000 0.62500000 -1.8750000 -2.6250000 -1.9375000 0.0000000 3.0000000 6.9062500 11.593750 16.937500 21.812500 27.031250 31.500000 36.062500 42.156250 48.500000 55.000000 61.687500 70.062500 78.500000 87.312500 96.187500 105.34375 114.50000 123.81250 133.28125 142.90625 152.46875 161.96875 20.940311
0.4000 -430788.22 207.84375 208.59375 209.34375 210.09375 210.84375 211.62500 212.37500 213.12500 213.87500 203.37500 193.96875 184.59375 175.84375 166.71875 158.93750 152.56250 145.18750 139.65625 134.50000 128.81250 126.06250 122.93750 119.93750 118.87500 116.21875 115.96875 115.84375 118.09375 118.46875 80.843750 54.156250 34.750000 20.593750 10.375000 3.2500000 -1.4375000 -4.0625000 -4.9687500 -4.5000000 -2.8125000 0.0000000 3.6250000 8.0625000 13.218750 18.937500 24.125000 29.625000 34.156250 38.937500 45.218750 51.562500 58.312500 65.125000 73.500000 82.250000 91.062500 100.06250 109.12500 118.43750 127.87500 137.40625 147.03125 156.71875 166.31250 20.925457
0.6000 -431411.34 212.68750 213.78125 214.81250 215.84375 216.90625 217.93750 219.03125 220.06250 221.12500 208.28125 196.40625 185.15625 174.06250 163.62500 154.93750 146.53125 137.84375 131.62500 124.75000 119.71875 114.62500 111.21875 106.90625 104.15625 102.56250 102.40625 101.34375 101.25000 102.46875 72.687500 49.906250 32.562500 19.468750 9.7500000 2.9062500 -1.6250000 -4.1562500 -5.0312500 -4.4687500 -2.8125000 0.0000000 3.6250000 8.1875000 13.406250 19.218750 24.468750 30.156250 34.843750 39.656250 46.000000 52.531250 59.343750 66.312500 74.937500 83.750000 92.718750 101.96875 111.28125 120.84375 130.53125 140.25000 150.06250 160.03125 169.78125 20.904116
0.8000 -430574.88 279.25000 279.68750 280.12500 280.56250 281.00000 281.43750 281.87500 282.31250 282.78125 271.21875 259.81250 250.93750 242.62500 234.40625 225.15625 218.65625 212.43750 207.93750 202.56250 200.93750 196.50000 195.87500 193.00000 192.40625 193.46875 194.68750 194.71875 197.68750 200.37500 134.90625 90.937500 60.187500 38.312500 22.750000 11.750000 4.4062500 -0.28125000 -2.5937500 -3.2187500 -2.2187500 0.0000000 3.3750000 7.5625000 12.562500 18.375000 23.593750 29.125000 33.875000 38.718750 45.093750 51.750000 58.562500 65.625000 74.250000 83.187500 92.375000 101.62500 111.03125 120.65625 130.37500 140.21875 150.15625 160.18750 170.03125 20.888111
1.0000 -430446.69 1205.8125 1207.5312 1209.2188 1210.9375 1212.6562 1214.3750 1216.0625 1217.7812 1219.4688 1205.7500 1191.5625 1178.6562 1165.8125 1153.5000 1143.5000 1133.1250 1123.0312 1115.2188 1107.4375 1101.4062 1093.8750 1088.5625 1083.5625 1079.9062 1077.7188 1075.0938 1072.6562 1072.5312 1072.5312 365.62500 185.43750 106.62500 63.312500 36.812500 19.875000 8.9375000 2.2500000 -1.3750000 -2.6250000 -2.0000000 0.0000000 3.2812500 7.5625000 12.687500 18.625000 24.000000 29.812500 34.750000 39.812500 46.437500 53.312500 60.468750 67.750000 76.750000 86.062500 95.468750 105.15625 115.00000 125.03125 135.15625 145.37500 155.59375 166.12500 176.34375 20.872959
1.2000 -430339.03 407.50000 408.96875 410.43750 411.93750 413.40625 414.84375 416.31250 417.78125 419.28125 405.81250 392.09375 378.65625 367.56250 356.12500 346.34375 336.03125 327.62500 320.87500 313.68750 306.65625 301.93750 298.59375 296.12500 292.71875 290.65625 290.40625 291.34375 291.50000 293.87500 197.62500 134.28125 90.718750 60.062500 38.218750 22.687500 11.906250 4.7500000 0.59375000 -1.4062500 -1.4687500 0.0000000 2.7187500 6.5625000 11.343750 16.781250 21.875000 27.375000 32.125000 36.968750 43.406250 50.062500 56.968750 64.156250 73.062500 82.093750 91.406250 100.93750 110.59375 120.37500 130.37500 140.46875 150.65625 160.87500 171.03125 20.856920
1.4000 -430926.69 96.312500 96.968750 97.656250 98.375000 99.031250 99.687500 100.34375 101.06250 101.75000 91.437500 80.718750 72.187500 62.562500 55.625000 49.937500 43.781250 38.500000 33.312500 29.031250 25.968750 24.125000 23.562500 22.312500 22.718750 24.687500 25.718750 28.375000 32.062500 36.312500 18.937500 6.2187500 -2.9375000 -9.2812500 -13.218750 -15.218750 -15.500000 -14.531250 -12.281250 -9.0312500 -4.9375000 0.0000000 5.5937500 11.656250 18.343750 25.406250 31.718750 38.156250 43.531250 49.031250 56.062500 63.312500 70.750000 78.250000 87.406250 96.781250 106.31250 116.03125 125.71875 135.62500 145.59375 155.59375 165.84375 176.03125 186.03125 20.838524
1.6000 -431167.94 343.34375 345.09375 346.84375 348.59375 350.34375 352.12500 353.87500 355.62500 357.40625 341.59375 326.90625 312.31250 300.75000 289.68750 277.00000 267.50000 256.75000 248.21875 239.34375 233.28125 227.81250 221.37500 216.68750 212.68750 209.00000 208.06250 206.31250 205.06250 206.00000 135.43750 89.468750 57.937500 35.843750 20.281250 9.5625000 2.4375000 -1.8437500 -3.8750000 -4.0312500 -2.6875000 0.0000000 3.8125000 8.4062500 13.750000 19.875000 25.343750 31.250000 36.187500 41.312500 48.000000 54.875000 62.062500 69.375000 78.437500 87.625000 97.156250 106.81250 116.59375 126.50000 136.62500 146.81250 157.12500 167.46875 177.68750 20.821209
1.8000 -431188.97 320.12500 320.56250 321.00000 321.43750 321.87500 322.31250 322.75000 323.18750 323.62500 307.56250 292.40625 280.87500 266.56250 253.21875 240.75000 229.93750 219.25000 208.96875 199.34375 191.78125 182.25000 175.81250 169.71875 163.71875 158.84375 154.37500 151.00000 148.87500 145.65625 105.09375 74.656250 51.656250 34.218750 21.125000 11.531250 4.8750000 0.50000000 -1.7812500 -2.5625000 -1.8750000 0.0000000 2.9687500 6.9375000 11.625000 16.968750 21.906250 27.250000 31.781250 36.500000 42.718750 49.062500 55.781250 62.687500 71.187500 80.000000 89.062500 98.250000 107.75000 117.34375 127.12500 136.93750 146.87500 156.96875 166.93750 20.801432
2.0000 -431662.44 705.62500 706.21875 706.81250 707.37500 707.93750 708.50000 709.09375 709.68750 710.25000 699.87500 690.68750 683.40625 676.56250 668.37500 661.06250 656.56250 652.40625 647.12500 643.50000 640.03125 636.62500 636.03125 635.03125 635.53125 636.75000 637.03125 638.28125 641.34375 644.71875 344.21875 205.81250 128.65625 81.062500 50.187500 29.656250 15.937500 7.1562500 1.8125000 -0.71875000 -1.1562500 0.0000000 2.5937500 6.3125000 10.968750 16.343750 21.375000 26.843750 31.531250 36.218750 42.562500 49.031250 55.906250 62.906250 71.531250 80.406250 89.500000 98.812500 108.25000 117.81250 127.46875 137.34375 147.21875 157.21875 167.09375 20.806349
