Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -46565.391 9506.2500 9506.2500 9506.2500 9506.2500 9506.2500 9506.2500 9506.2500 9506.2500 9506.2500 9490.7812 9476.2969 9462.6094 9449.9375 9438.1719 9427.3516 9417.4531 9408.3984 9400.3711 9393.2852 9387.1914 9381.9414 9377.5547 9374.2539 9371.8203 9370.1992 9369.6797 9370.0039 9371.2617 9373.4414 1206.9609 566.08594 336.72266 218.92188 147.82031 100.95312 68.449219 45.230469 28.410156 16.242188 7.5625000 1.5664062 -2.2812500 -4.4140625 -5.1250000 -4.6640625 -3.5078125 -1.7812500 0.0000000 2.0703125 5.0429688 8.3906250 12.074219 16.062500 21.191406 26.656250 32.417969 38.445312 44.703125 51.164062 57.808594 64.617188 71.542969 78.625000 85.781250 2.1307704
0.4000 -46493.336 2220.5781 2220.5781 2220.5781 2220.5781 2220.5781 2220.5781 2220.5781 2220.5781 2220.5781 2209.4570 2198.7188 2188.6016 2178.8398 2169.6367 2160.8398 2152.5117 2144.7461 2137.4492 2130.6680 2124.3789 2118.4609 2113.0820 2108.1836 2103.7617 2099.7578 2096.3398 2093.2969 2090.8633 2088.8008 1141.0039 733.91016 509.57031 368.34375 272.08594 203.08984 151.96875 113.26562 83.585938 60.683594 42.988281 29.410156 19.128906 11.539062 6.1679688 2.6289062 0.87500000 0.054687500 0.0000000 0.41796875 1.5273438 3.2343750 5.4453125 8.1367188 11.906250 16.191406 20.941406 26.093750 31.597656 37.410156 43.492188 49.824219 56.378906 63.113281 70.007812 2.1332550
0.6000 -46138.879 697.90234 697.90234 697.90234 697.90234 697.90234 697.90234 697.90234 697.90234 697.90234 688.16797 679.05078 670.32031 661.86719 653.98828 646.46484 639.47266 632.78125 626.61328 620.80078 615.55078 610.57422 606.18750 602.15625 598.51562 595.36328 592.65234 590.29297 588.42188 586.92188 398.63672 282.21094 204.03125 148.69141 108.16406 77.832031 54.824219 37.304688 23.996094 13.984375 6.6328125 1.4335938 -1.9843750 -3.9179688 -4.5937500 -4.2070312 -3.1914062 -1.6132812 0.0000000 1.9101562 4.6718750 7.7890625 11.246094 14.980469 19.816406 25.003906 30.480469 36.214844 42.191406 48.378906 54.742188 61.269531 67.953125 74.769531 81.671875 2.1335654
0.8000 -46915.547 7352.4102 7352.4102 7352.4102 7352.4102 7352.4102 7352.4102 7352.4102 7352.4102 7352.4102 7341.7461 7331.5195 7321.8945 7312.6328 7303.7539 7295.2773 7287.3477 7279.7461 7272.7070 7265.9766 7259.8320 7253.9375 7248.5703 7243.7070 7239.0781 7235.0234 7231.3711 7228.2539 7225.4023 7223.0742 2640.3750 1461.9727 932.48047 639.04688 456.36328 333.95312 247.71484 184.83984 137.85547 102.17188 74.792969 53.691406 37.433594 24.996094 15.617188 8.7343750 4.5703125 1.6093750 0.0000000 -1.0117188 -1.5312500 -1.3242188 -0.48437500 0.92578125 3.2617188 6.2148438 9.7070312 13.664062 18.035156 22.761719 27.812500 33.144531 38.710938 44.503906 50.468750 2.1328812
1.0000 -46258.949 914.49219 914.49219 914.49219 914.49219 914.49219 914.49219 914.49219 914.49219 914.49219 904.31250 894.72266 885.60938 877.13672 869.21875 861.73438 854.95703 848.54688 842.82422 837.73828 833.05078 829.03516 825.52734 822.53906 820.18750 818.26562 817.04297 816.28516 816.10938 816.44922 586.66406 434.86328 328.20703 250.12500 191.31641 146.12500 110.95703 83.367188 61.636719 44.558594 31.199219 20.890625 13.097656 7.4023438 3.4726562 1.0273438 -0.019531250 -0.29296875 0.0000000 0.67968750 2.0390625 3.9179688 6.2421875 8.9804688 12.746094 16.964844 21.605469 26.593750 31.902344 37.503906 43.351562 49.433594 55.707031 62.156250 68.753906 2.1372929
1.2000 -46498.078 476.47656 476.47656 476.47656 476.47656 476.47656 476.47656 476.47656 476.47656 476.47656 464.43750 452.90234 441.93750 431.47656 421.67578 412.35156 403.61719 395.36719 387.74609 380.66406 374.09375 368.16016 362.64062 357.75391 353.51953 349.78906 346.51172 343.90234 341.73828 340.21484 250.94922 187.06641 139.69531 103.73438 76.031250 54.480469 37.703125 24.671875 14.652344 7.1054688 1.6015625 -2.2109375 -4.5585938 -5.6757812 -5.7500000 -4.8945312 -3.5781250 -1.7656250 0.0000000 2.0234375 4.8867188 8.0820312 11.582031 15.347656 20.195312 25.351562 30.789062 36.488281 42.398438 48.511719 54.808594 61.257812 67.859375 74.578125 81.394531 2.1379373
1.4000 -46831.754 690.67969 690.67969 690.67969 690.67969 690.67969 690.67969 690.67969 690.67969 690.67969 679.14844 668.07422 657.51172 647.38672 637.74219 628.35938 619.72266 611.30469 603.48438 596.00391 589.03516 582.35547 576.37109 570.70312 565.52734 560.83203 556.48828 552.61719 549.23047 546.30469 349.20312 238.42188 168.06641 119.95703 85.507812 60.128906 41.136719 26.832031 16.097656 8.1484375 2.4335938 -1.4960938 -3.9257812 -5.1171875 -5.2539062 -4.5117188 -3.3085938 -1.6367188 0.0000000 1.8867188 4.5390625 7.4960938 10.734375 14.222656 18.687500 23.441406 28.449219 33.675781 39.101562 44.699219 50.453125 56.339844 62.359375 68.480469 74.691406 2.1332624
1.6000 -46280.164 689.85547 689.85547 689.85547 689.85547 689.85547 689.85547 689.85547 689.85547 689.85547 675.09375 661.06250 647.51562 634.57031 622.30078 610.61328 599.45312 588.97656 579.03906 569.62891 561.00781 552.88672 545.41016 538.60156 532.33203 526.68750 521.50391 517.13672 513.19141 509.98047 333.76953 233.87891 168.98828 123.43750 89.980469 64.738281 45.433594 30.593750 19.246094 10.683594 4.3789062 -0.054687500 -2.9218750 -4.4687500 -4.8906250 -4.3437500 -3.2421875 -1.6289062 0.0000000 1.8945312 4.6054688 7.6562500 11.027344 14.671875 19.382812 24.425781 29.722656 35.300781 41.101562 47.093750 53.273438 59.617188 66.097656 72.699219 79.402344 2.1377835
1.8000 -46664.273 393.71484 393.71484 393.71484 393.71484 393.71484 393.71484 393.71484 393.71484 393.71484 389.27344 385.14062 381.67969 378.62109 376.01172 373.98047 372.24219 371.23047 370.51953 370.39062 370.75391 371.44922 372.79688 374.53125 376.82812 379.47266 382.68359 386.36328 390.48047 395.05859 297.41016 225.82422 171.88672 130.45703 98.207031 72.906250 53.003906 37.367188 25.152344 15.738281 8.6367188 3.4609375 -0.085937500 -2.2617188 -3.2656250 -3.2421875 -2.5546875 -1.3242188 0.0000000 1.6171875 4.0000000 6.7460938 9.8125000 13.167969 17.554688 22.277344 27.300781 32.585938 38.113281 43.859375 49.789062 55.886719 62.125000 68.511719 75.000000 2.1379828
2.0000 -46435.234 4625.1719 4625.1719 4625.1719 4625.1719 4625.1719 4625.1719 4625.1719 4625.1719 4625.1719 4612.0039 4599.5781 4587.5156 4576.0508 4565.2617 4554.8203 4545.0625 4535.8398 4527.0469 4519.0508 4511.4258 4504.4023 4497.9141 4491.9570 4486.5703 4481.6562 4477.3750 4473.5898 4470.4531 4467.7695 1594.6992 900.34766 592.44531 417.08203 303.72266 224.92578 167.67969 124.92188 92.406250 67.445312 48.214844 33.457031 22.246094 13.882812 7.8476562 3.7304688 1.5585938 0.35156250 0.0000000 0.12890625 0.89062500 2.2617188 4.1601562 6.5312500 9.9257812 13.839844 18.207031 22.988281 28.113281 33.554688 39.265625 45.214844 51.390625 57.746094 64.261719 2.1353929
2.2000 -46406.160 3376.4453 3376.4453 3376.4453 3376.4453 3376.4453 3376.4453 3376.4453 3376.4453 3376.4453 3366.5078 3357.0938 3348.3633 3340.1289 3332.5820 3325.4180 3319.0430 3313.2578 3307.9219 3303.1328 3299.1680 3295.5781 3292.6445 3290.2383 3288.5156 3287.3242 3286.7812 3286.6367 3287.2734 3288.3750 1403.2461 833.79297 560.62891 399.73828 293.95703 219.67578 165.28516 124.35156 93.011719 68.753906 49.894531 35.261719 23.996094 15.453125 9.1601562 4.7148438 2.2031250 0.64843750 0.0000000 -0.16406250 0.20312500 1.1796875 2.6796875 4.6484375 7.5546875 10.996094 14.894531 19.195312 23.878906 28.851562 34.128906 39.652344 45.394531 51.332031 57.437500 2.1396580
