Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -46516.586 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930199e+09 1.1930198e+09 1.1930199e+09 1.1930198e+09 1.1930199e+09 1.1930198e+09 1.1930198e+09 1.1930199e+09 1.1930198e+09 1.1930198e+09 1.1930196e+09 1.1930195e+09 1.1930196e+09 1.1930196e+09 1.1930196e+09 1.1930196e+09 1.1930196e+09 1.1930195e+09 154487.28 51107.996 25907.250 15630.842 10370.129 7300.9219 5350.8320 4035.0977 3107.0430 2429.8008 1922.2266 1533.6328 1230.9766 991.93359 800.96875 647.03516 541.14453 451.76953 390.25781 336.33594 278.14062 228.69922 186.69531 151.05078 115.44141 86.441406 63.031250 44.343750 29.722656 18.539062 10.335938 4.7070312 1.2968750 -0.18359375 0.0000000 2.1353841
0.4000 -46111.250 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879946e+09 3.2879944e+09 3.2879946e+09 3.2879946e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879946e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 3.2879944e+09 135481.02 45928.906 23923.906 14776.178 9994.5625 7149.7109 5310.1562 4049.6445 3148.4102 2482.9180 1978.9062 1589.4648 1283.6523 1040.3398 844.68359 685.99609 576.26562 483.26172 419.00000 362.47656 301.25000 249.03125 204.48047 166.52344 128.42188 97.210938 71.843750 51.457031 35.316406 22.835938 13.496094 6.8789062 2.6250000 0.42187500 0.0000000 2.1508954
0.6000 -46339.805 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840279e+10 2.7840279e+10 2.7840279e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 2.7840281e+10 136183.14 45352.934 23156.945 14092.508 9429.9219 6691.6562 4939.1484 3748.0664 2902.0234 2280.5000 1811.8242 1450.9648 1168.4219 944.20703 764.30859 618.73047 518.25391 433.19531 374.53906 323.01953 267.30859 219.86719 179.50391 145.21875 110.89062 82.917969 60.316406 42.281250 28.164062 17.394531 9.5312500 4.1640625 0.96484375 -0.33203125 0.0000000 2.1537137
0.8000 -46383.367 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 6.1509927e+11 148618.89 50918.207 26118.137 15843.531 10539.863 7430.3359 5448.5703 4108.9531 3163.0312 2472.3711 1954.6836 1558.3867 1249.8438 1006.2695 811.84375 655.22656 547.55469 456.74219 394.28125 339.58203 280.56641 230.46094 187.94531 151.89844 115.90625 86.628906 63.031250 44.238281 29.531250 18.332031 10.132812 4.5273438 1.1562500 -0.25781250 0.0000000 2.1318700
1.0000 -46447.633 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 7.5026462e+12 146542.88 48124.129 24425.461 14769.918 9820.7539 6927.9570 5086.3125 3841.3555 2961.5859 2318.4883 1835.7266 1465.5781 1176.8945 948.60156 766.05078 618.73828 517.31641 431.66797 372.69531 320.98438 265.16797 217.73438 177.42969 143.24219 109.09766 81.332031 58.937500 41.125000 27.214844 16.652344 8.9609375 3.7578125 0.72656250 -0.44921875 0.0000000 2.1319888
1.2000 -46379.809 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 3.5644879e+10 158847.75 50230.727 25196.773 15171.000 10068.508 7095.2539 5205.0898 3928.2578 3026.4453 2367.5078 1873.1445 1494.2930 1199.0352 965.70312 779.24609 628.93750 525.53516 438.26562 378.21484 325.60547 268.83203 220.63281 179.69922 145.00781 110.38672 82.261719 59.574219 41.562500 27.488281 16.816406 9.0507812 3.7968750 0.73828125 -0.44921875 0.0000000 2.1215706
1.4000 -46291.789 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281910e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 9.1281900e+09 118750.15 41340.320 21646.057 13353.418 9002.5039 6414.4141 4744.0977 3602.5820 2788.8438 2189.7734 1737.4375 1388.9727 1116.1367 899.72266 726.23828 585.98047 489.30078 407.60156 351.31641 301.96484 248.69922 203.45312 165.04688 132.52734 100.10547 73.812500 52.703125 36.011719 23.105469 13.406250 6.5039062 2.0195312 -0.37890625 -0.97265625 0.0000000 2.1186247
1.6000 -46467.156 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515622e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515612e+09 5.7515612e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 5.7515617e+09 160080.62 51997.031 26239.566 15847.986 10546.969 7453.4883 5483.7500 4150.6797 3207.1406 2516.1719 1996.5078 1597.3086 1285.3984 1038.3047 840.35156 680.36719 570.06250 476.75781 412.45312 355.98438 294.94531 242.98828 198.77344 161.18750 123.55078 92.851562 67.992188 48.109375 32.476562 20.492188 11.648438 5.5078125 1.7187500 -0.011718750 0.0000000 2.1325171
1.8000 -46649.230 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886560e+08 4.1886554e+08 4.1886547e+08 4.1886544e+08 4.1886538e+08 4.1886534e+08 4.1886528e+08 4.1886525e+08 4.1886515e+08 4.1886512e+08 4.1886509e+08 4.1886506e+08 4.1886499e+08 4.1886496e+08 4.1886490e+08 4.1886486e+08 4.1886486e+08 4.1886480e+08 4.1886477e+08 4.1886477e+08 4.1886470e+08 160999.55 52660.789 26626.895 16094.033 10713.660 7572.1289 5571.5078 4217.6875 3259.6875 2558.2578 2030.8320 1625.7500 1309.2539 1058.5156 857.63672 695.23047 583.21094 488.43750 423.06250 365.65625 303.55078 250.64844 205.57422 167.22266 128.75000 97.289062 71.757812 51.261719 35.070312 22.570312 13.246094 6.6562500 2.4726562 0.33593750 0.0000000 2.1331291
2.0000 -46152.996 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 4.7709756e+11 132063.59 44535.832 23133.887 14261.260 9633.9531 6885.7148 5110.9141 3895.8555 3027.6484 2386.7266 1901.4375 1526.5156 1232.1094 997.88672 809.53906 656.78906 551.18359 461.68359 399.85938 345.50000 286.65625 236.46875 193.69531 157.29297 120.78516 90.929688 66.738281 47.347656 32.074219 20.332031 11.648438 5.5820312 1.8281250 0.046875000 0.0000000 2.1129851
