Time    U    dU_0    dU_1    dU_2    dU_3    dU_4    dU_5    dU_6    dU_7    dU_8    dU_9    dU_10    dU_11    dU_12    dU_13    dU_14    dU_15    dU_16    dU_17    dU_18    dU_19    dU_20    dU_21    dU_22    dU_23    dU_24    dU_25    dU_26    dU_27    dU_28    dU_29    dU_30    dU_31    dU_32    dU_33    dU_34    dU_35    dU_36    dU_37    dU_38    dU_39    dU_40    dU_41    dU_42    dU_43    dU_44    dU_45    dU_46    dU_47    dU_48    dU_49    dU_50    dU_51    dU_52    dU_53    dU_54    dU_55    dU_56    dU_57    dU_58    dU_59    dU_60    dU_61    dU_62    dU_63    pV
0.2000 -472557.03 3916.8750 3919.5312 3921.3438 3922.2500 3924.9688 3925.8750 3927.6562 3929.4375 3932.1562 4062.8750 4181.7500 4292.7812 4394.6875 4500.4375 4595.4688 4677.1250 4747.9375 4805.5625 4852.8438 4888.3750 4910.2188 4921.3750 2485.4688 1627.9688 1149.8750 860.18750 654.56250 506.78125 392.81250 306.25000 237.00000 184.68750 143.06250 109.81250 83.156250 63.187500 47.062500 34.593750 25.250000 17.718750 13.156250 8.1562500 5.0625000 2.9375000 2.2812500 0.53125000 0.0000000 -0.093750000 0.12500000 0.75000000 2.7500000 3.8125000 6.4375000 10.437500 13.187500 17.187500 22.656250 26.468750 31.562500 36.937500 42.656250 48.437500 54.500000 60.625000 22.313290
0.4000 -472954.25 4921.7500 4923.1562 4923.6875 4923.2188 4924.6875 4924.2188 4924.7188 4925.1875 4926.6250 5055.6562 5173.4375 5284.1250 5384.7812 5490.7500 5583.3438 5664.3438 5735.7812 5793.7812 5839.9688 5874.7812 5897.6250 5908.3750 2317.0000 1388.2812 936.09375 681.18750 507.71875 386.53125 294.87500 226.34375 172.25000 131.81250 100.00000 75.000000 55.187500 40.625000 29.000000 20.187500 13.812500 8.8125000 6.2812500 2.9375000 1.3125000 0.37500000 0.78125000 -0.25000000 0.0000000 0.50000000 1.2812500 2.4062500 4.7812500 6.4062500 9.2812500 13.562500 16.312500 20.375000 25.593750 29.312500 34.156250 39.250000 44.500000 49.875000 55.406250 61.000000 22.313025
0.6000 -473508.78 1203.7812 1205.3438 1206.2812 1206.6875 1208.2188 1208.5938 1209.5938 1210.5312 1212.0938 1339.7500 1458.3125 1567.5625 1668.7500 1772.1875 1864.2500 1944.7188 2014.3750 2070.7812 2116.6250 2150.5312 2172.6250 2182.2500 1176.1250 780.62500 554.06250 414.50000 314.21875 241.15625 184.18750 140.62500 105.62500 79.125000 58.250000 41.718750 28.781250 19.375000 12.062500 6.7500000 3.1250000 0.50000000 -0.56250000 -2.0000000 -2.2500000 -2.1562500 -1.1250000 -1.0312500 0.0000000 1.2500000 2.6875000 4.4375000 7.0625000 9.6875000 13.375000 17.812500 21.500000 26.000000 31.375000 35.781250 40.937500 46.343750 51.875000 57.500000 63.312500 69.031250 22.326170
0.8000 -473851.50 2644.3125 2646.0625 2646.8125 2646.5312 2648.2812 2648.0312 2648.7812 2649.5000 2651.2500 2778.3125 2895.3125 3004.3125 3104.3438 3207.3750 3299.9375 3379.3438 3449.8438 3504.6875 3551.5312 3585.2188 3608.6250 3618.0000 2026.0625 1368.7500 984.84375 746.37500 574.40625 448.93750 350.90625 275.46875 214.53125 167.90625 130.65625 100.62500 76.406250 58.218750 43.437500 31.843750 23.312500 16.343750 12.312500 7.4687500 4.6562500 2.6562500 2.3125000 0.46875000 0.0000000 -0.031250000 0.21875000 0.81250000 2.9375000 3.7812500 6.3125000 10.375000 12.843750 16.781250 22.187500 25.718750 30.625000 35.875000 41.343750 46.968750 52.843750 58.718750 22.290602
1.0000 -472498.09 3977.7188 3980.2812 3980.9375 3979.8125 3982.3125 3981.1562 3981.8438 3982.5312 3985.0625 4112.9688 4229.0000 4339.0938 4439.7812 4543.3438 4637.8125 4716.4375 4788.0000 4843.0000 4889.9062 4924.4688 4946.8438 4955.3125 2331.0625 1456.2188 1002.3750 739.90625 559.75000 432.43750 335.03125 261.25000 202.25000 157.50000 121.87500 93.375000 70.437500 53.312500 39.500000 28.750000 20.750000 14.312500 11.656250 6.2500000 3.7187500 2.0000000 2.6875000 0.21875000 0.0000000 0.12500000 0.50000000 1.3125000 4.3125000 4.6250000 7.2500000 12.250000 14.031250 18.000000 24.312500 27.062500 32.062500 37.250000 42.750000 48.437500 54.218750 60.187500 22.336922
1.2000 -473450.72 -58.250000 -55.968750 -54.875000 -55.000000 -52.718750 -52.843750 -51.781250 -50.687500 -48.375000 76.687500 191.65625 299.37500 398.28125 499.81250 591.93750 669.25000 737.40625 792.00000 837.40625 871.15625 891.15625 899.84375 655.87500 503.81250 390.21875 307.00000 241.12500 189.50000 147.03125 113.12500 85.125000 63.437500 46.062500 32.281250 21.437500 13.500000 7.4375000 3.0312500 0.062500000 -1.9062500 -1.6875000 -3.3750000 -3.3750000 -2.9062500 -0.81250000 -1.1875000 0.0000000 1.5625000 3.1875000 5.1250000 8.6562500 10.937500 14.750000 20.281250 23.468750 28.281250 34.531250 38.468750 43.875000 49.500000 55.312500 61.218750 67.250000 73.218750 22.332024
1.4000 -471608.66 1139.1875 1140.4375 1140.8125 1140.3750 1141.5938 1141.1875 1141.5938 1141.9375 1143.1875 1270.2500 1387.6562 1498.9375 1599.0625 1703.7188 1797.7500 1878.4375 1948.5938 2005.7500 2052.9688 2087.9062 2111.4688 2121.7500 1366.4688 970.75000 712.12500 542.06250 415.90625 322.46875 249.15625 192.71875 147.31250 112.84375 85.468750 63.750000 46.406250 33.750000 23.625000 15.937500 10.500000 6.2500000 4.1875000 1.4375000 0.25000000 -0.46875000 0.18750000 -0.50000000 0.0000000 0.81250000 1.7812500 3.1875000 5.6250000 7.5937500 10.812500 15.156250 18.312500 22.625000 27.937500 31.937500 37.031250 42.312500 47.750000 53.437500 59.156250 64.937500 22.425533
1.6000 -471216.50 12634.125 12635.406 12636.031 12635.969 12637.250 12637.188 12637.781 12638.406 12639.719 12766.469 12883.312 12993.188 13093.969 13197.500 13290.188 13370.094 13439.125 13495.844 13541.906 13575.500 13597.656 13607.156 3013.2812 1505.3125 929.09375 646.40625 469.09375 351.40625 265.12500 201.81250 152.43750 115.90625 87.281250 64.718750 47.000000 33.968750 23.656250 15.968750 10.406250 6.1562500 3.9687500 1.3750000 0.15625000 -0.40625000 0.031250000 -0.46875000 0.0000000 0.84375000 1.9062500 3.2500000 5.6562500 7.8437500 11.062500 15.468750 18.843750 23.250000 28.531250 32.781250 37.906250 43.281250 48.875000 54.531250 60.468750 66.343750 22.320137
1.8000 -473939.72 5565.7500 5568.3125 5568.7812 5567.1250 5569.6875 5568.0938 5568.5312 5569.0000 5571.5312 5701.9375 5819.8750 5931.9062 6033.8750 6140.3438 6237.3125 6317.6562 6391.8750 6449.2188 6498.0625 6533.4375 6558.2500 6568.3125 2344.3750 1418.8438 972.15625 717.75000 544.06250 421.09375 327.06250 255.71875 198.56250 155.18750 120.56250 92.812500 70.406250 53.750000 40.062500 29.375000 21.406250 15.062500 12.468750 6.8750000 4.3125000 2.4375000 3.2812500 0.43750000 0.0000000 -0.062500000 0.25000000 0.84375000 3.8437500 3.5625000 5.9375000 10.875000 12.093750 15.718750 21.718750 24.031250 28.593750 33.437500 38.562500 43.906250 49.312500 54.812500 22.243969
2.0000 -471291.03 2027.5000 2029.8125 2030.7188 2030.1875 2032.5312 2031.9062 2032.7812 2033.6562 2036.0000 2161.6562 2276.8750 2385.7500 2485.6250 2587.5625 2679.7812 2757.5000 2826.8750 2880.8125 2927.0000 2958.1250 2979.9062 2986.7812 1264.5312 773.84375 529.78125 388.96875 292.15625 223.03125 169.71875 129.15625 96.656250 72.093750 52.718750 37.500000 25.531250 16.875000 10.218750 5.2812500 1.9375000 -0.37500000 -0.18750000 -2.4062500 -2.6250000 -2.3437500 -0.31250000 -1.0000000 0.0000000 1.3437500 2.8437500 4.5937500 8.1562500 9.9062500 13.406250 18.781250 21.531250 25.968750 32.125000 35.531250 40.656250 45.906250 51.343750 56.906250 62.593750 68.218750 22.445393
